item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50,item51,item52,item53,item54,item55,item56,item57
1050,C,C,C,B,C,D,D,A,C,C,B,B,A,D,C,D,C,D,C,A,B,A,B,D,B,D,D,C,A,B,C,B,D,A,D,B,A,C,B,D,C,A,B,D,C,C,D,C,D,B,D,C,D,B,C,B,B
1051,C,A,D,C,A,B,C,B,B,B,B,A,A,D,B,D,B,C,D,C,C,B,C,A,B,B,D,B,D,B,C,C,A,D,A,C,B,A,C,A,D,A,A,D,B,B,B,A,C,D,A,B,D,B,D,B,C
1052,B,C,D,D,B,D,C,C,B,B,C,A,A,C,D,A,D,C,B,B,A,B,D,B,C,B,B,B,C,A,C,D,A,D,A,C,C,B,B,A,D,C,A,B,C,A,A,D,B,D,D,C,B,D,B,D,D
1053,D,A,A,C,A,B,A,C,A,B,D,A,C,B,C,A,B,B,D,C,B,B,B,A,C,C,A,C,B,B,D,C,C,C,B,D,D,A,A,A,C,A,B,D,A,B,C,D,D,B,C,B,D,B,C,C,A
1054,D,A,C,D,B,A,C,C,A,B,D,C,B,B,C,A,A,B,C,C,B,D,B,A,A,D,D,B,A,C,B,A,C,C,C,A,C,C,D,D,A,B,D,B,A,D,C,A,B,D,A,C,A,B,D,A,C
1055,C,D,C,B,B,C,C,C,C,C,C,D,B,C,B,B,C,A,C,D,C,A,C,C,A,A,D,D,A,A,B,B,C,C,C,B,C,A,B,D,A,B,A,A,B,D,A,B,A,C,A,B,B,D,D,A,A
1056,A,B,A,A,C,D,B,A,B,A,C,B,D,A,C,C,D,A,A,C,C,C,A,D,D,A,A,A,B,D,D,C,D,C,C,C,C,C,A,A,A,A,D,C,C,B,C,A,D,D,B,D,B,A,B,D,B
1057,C,B,D,C,B,C,B,C,B,D,B,C,A,D,A,D,A,D,B,D,D,B,A,B,B,B,D,A,B,C,D,C,A,C,B,A,D,C,A,A,B,C,A,C,A,C,C,C,A,C,B,B,C,A,B,A,C
1058,A,C,C,D,C,D,D,A,A,B,D,D,A,C,B,A,D,A,B,A,D,D,C,B,C,C,C,C,D,A,D,D,D,D,A,C,D,D,C,B,A,D,B,A,D,B,D,B,D,D,C,B,B,B,C,D,B
1059,A,C,B,D,D,A,C,A,B,B,B,C,A,A,D,B,A,D,C,D,B,A,A,D,A,C,A,B,A,C,B,B,B,C,B,A,C,C,A,D,D,C,C,C,A,D,A,A,A,A,D,D,C,A,A,C,B
1060,C,A,C,C,C,A,B,A,A,B,A,B,D,B,C,D,D,D,C,C,C,C,B,D,B,B,A,B,D,B,A,A,D,B,B,B,B,D,A,D,D,B,D,B,B,A,C,C,A,B,B,D,B,A,D,C,D
1061,B,D,A,C,B,A,C,A,B,B,B,C,B,B,A,B,A,C,B,A,C,C,C,C,A,B,B,B,C,D,A,B,B,B,D,D,A,A,C,C,C,D,C,D,B,A,C,A,C,D,B,D,A,D,D,B,C
1062,A,A,D,A,C,C,B,D,D,C,C,C,C,A,C,C,C,C,D,B,A,B,C,D,C,A,D,A,B,A,A,D,B,A,D,B,A,A,B,D,D,C,B,B,B,A,B,A,A,A,D,A,D,A,C,B,C
1063,D,D,B,A,D,C,A,C,B,A,C,B,D,B,A,D,B,B,C,C,A,C,D,A,A,B,C,A,C,C,B,D,B,D,A,D,A,A,D,A,D,C,C,C,D,B,B,B,B,A,C,B,D,A,C,A,C
1064,B,D,C,C,A,A,D,B,D,C,B,C,C,A,D,A,D,B,A,D,B,C,D,D,C,B,A,B,C,C,D,D,C,B,B,C,A,D,B,B,B,C,B,B,C,D,A,A,A,C,A,B,D,B,A,B,B
1065,B,D,A,A,A,A,A,B,B,C,B,D,A,D,C,B,D,D,B,B,C,A,C,D,A,D,A,A,B,D,A,B,D,A,D,C,D,B,C,A,A,B,B,D,C,A,C,C,A,D,B,A,D,D,D,D,A
1066,A,A,D,D,D,C,B,C,C,B,C,C,B,A,A,A,A,D,D,C,C,B,C,D,D,C,B,C,D,C,D,B,C,C,B,A,B,B,A,D,C,A,A,B,B,B,D,C,B,A,B,B,C,A,B,C,D
1067,B,B,D,A,A,A,C,B,D,A,B,A,C,B,B,C,D,C,A,D,B,B,B,D,A,B,D,A,B,A,B,A,C,C,A,B,C,D,B,D,C,A,C,B,D,A,C,A,B,B,A,D,C,C,D,C,B
1068,A,D,C,C,D,C,C,D,B,C,A,C,D,C,D,D,D,B,A,B,C,D,C,C,B,B,B,D,D,C,B,B,A,B,A,A,A,B,C,A,C,B,A,A,C,C,A,A,D,A,A,D,A,C,A,A,C
1069,A,A,D,B,D,D,B,A,A,C,B,D,D,A,B,D,C,D,B,D,B,D,A,A,C,A,C,A,C,D,D,A,B,D,D,C,C,C,B,D,A,A,D,B,B,B,B,A,C,B,C,C,C,D,B,B,B
1070,D,A,B,A,B,B,D,C,C,B,D,B,B,D,C,C,C,B,C,A,A,C,D,B,A,B,A,A,C,B,D,C,D,B,B,A,C,A,B,B,D,B,D,C,B,D,C,A,B,B,D,C,A,B,A,D,C
1071,B,C,D,D,C,B,C,B,C,A,C,B,B,D,D,D,B,C,B,D,D,C,B,A,B,D,C,B,A,B,D,A,D,A,B,B,C,B,A,D,A,B,C,C,A,C,A,C,C,B,C,A,D,B,D,D,B
1072,B,D,C,A,B,B,C,A,B,C,D,D,A,B,C,C,A,A,A,C,D,A,A,D,D,A,B,B,D,C,C,C,D,B,A,C,A,A,D,D,A,A,A,B,C,C,A,D,C,A,B,B,A,C,A,B,C
1073,C,D,C,A,A,C,D,D,A,C,A,B,D,A,A,B,C,B,A,C,C,D,A,A,A,D,B,A,C,A,D,A,D,A,A,D,D,C,C,A,C,A,B,B,C,C,C,C,D,B,C,B,D,A,D,D,C
1074,B,B,C,D,D,A,A,B,A,D,D,B,D,A,C,B,A,C,A,B,C,C,C,D,D,B,B,D,C,D,C,A,B,A,A,A,A,B,B,C,C,A,D,C,B,D,D,D,A,B,A,A,B,B,D,C,B
1075,A,D,B,C,C,D,B,B,C,A,D,A,B,A,B,D,B,C,C,B,C,D,B,D,A,D,A,B,A,C,D,C,D,B,D,A,D,B,B,D,A,C,A,D,D,A,B,A,B,A,B,D,D,A,D,D,D
1076,A,A,D,B,B,D,C,C,A,C,D,B,B,C,A,B,B,B,B,B,A,D,C,A,A,B,D,B,A,A,C,A,A,D,B,C,D,C,A,C,A,D,C,B,D,C,A,D,B,D,A,A,B,C,B,B,C
1077,B,C,C,D,D,C,D,D,A,B,D,B,A,C,A,C,C,A,C,B,B,C,D,A,C,D,B,A,B,B,A,C,C,D,B,C,A,D,D,B,D,A,B,B,D,A,A,A,A,C,B,A,D,B,C,D,D
1078,C,D,D,A,A,B,C,C,A,D,C,C,B,A,C,A,A,B,D,C,A,D,A,A,B,D,A,B,C,A,C,D,B,D,D,D,A,A,D,D,C,A,C,B,B,D,D,B,D,A,B,A,A,A,B,A,C
1079,D,C,C,A,B,B,B,B,C,D,D,A,B,D,A,B,A,A,C,A,C,A,A,B,B,A,C,C,D,D,B,C,D,B,A,D,D,C,B,C,C,C,C,A,D,C,B,C,A,B,B,C,C,A,A,C,D
1080,A,A,D,C,B,C,B,B,C,A,B,B,C,C,B,D,D,C,B,B,A,A,C,A,D,C,A,A,C,C,D,C,D,D,A,C,B,C,C,B,A,B,D,C,A,A,A,B,B,A,D,D,C,B,B,B,B
1081,D,D,D,A,B,D,C,B,A,D,A,C,D,A,A,D,B,C,A,D,C,C,A,B,B,B,C,A,B,C,D,D,D,C,C,B,D,D,D,A,A,D,D,A,D,D,D,A,D,D,D,C,A,B,A,C,A
1082,D,A,A,B,C,C,B,A,A,A,C,D,D,D,D,C,A,D,C,B,D,B,C,A,D,B,D,D,B,A,B,B,B,A,C,C,C,B,B,B,D,A,C,C,D,D,B,B,C,C,B,C,D,D,B,D,C
1083,C,D,B,C,D,A,B,C,C,B,B,B,C,C,D,B,D,C,C,A,A,C,B,C,C,D,A,C,D,B,A,A,B,A,A,D,A,C,C,D,B,A,B,B,D,A,C,D,D,D,B,D,A,C,A,A,D
1084,A,B,C,C,B,A,A,B,B,A,C,A,D,B,D,D,A,A,C,A,A,D,D,C,C,D,C,C,A,D,A,D,D,D,D,C,B,D,D,B,C,D,A,C,B,B,C,D,D,C,C,D,B,D,B,B,C
1085,D,D,B,C,A,B,D,C,A,A,C,A,D,C,C,D,B,D,C,B,B,D,C,B,C,D,C,A,C,B,A,C,B,C,A,D,A,D,B,B,B,B,B,A,C,D,C,A,A,D,C,D,A,D,A,C,A
1086,B,C,A,B,B,A,B,B,B,D,B,A,D,A,B,C,B,B,B,B,B,A,A,C,C,C,A,D,A,A,B,A,A,B,B,A,D,B,A,A,B,D,C,B,D,D,D,C,A,D,D,A,C,B,D,D,C
1087,B,A,D,D,A,D,A,C,B,C,C,D,A,A,B,C,D,A,B,D,B,D,D,C,B,A,D,A,C,D,A,D,B,B,A,B,D,C,B,B,A,B,A,D,C,A,A,B,C,C,B,D,D,A,A,B,A
1088,B,B,C,D,D,C,A,C,B,C,C,D,B,B,B,C,B,A,B,D,C,A,B,D,A,C,A,B,B,B,B,C,A,B,B,A,C,A,D,A,A,D,C,D,D,B,A,D,A,C,C,B,B,A,D,B,D
1089,B,B,A,D,B,C,A,B,D,C,C,D,D,B,C,B,C,C,D,C,D,C,C,C,D,D,A,B,C,C,D,D,B,B,B,D,B,D,A,A,C,A,D,B,B,D,D,D,D,A,A,B,B,C,D,A,C
1090,A,C,C,C,D,B,B,A,C,B,A,B,B,B,A,C,A,D,C,C,B,A,D,D,D,C,B,A,A,C,C,B,C,A,C,C,B,A,A,B,D,C,C,A,D,B,B,A,C,A,A,C,B,B,C,B,D
1091,B,C,A,C,D,A,B,B,A,C,D,D,C,B,C,B,D,A,B,B,C,C,B,A,D,A,A,D,A,D,A,D,A,D,B,C,D,B,D,B,D,C,A,A,D,C,D,A,A,A,C,C,D,B,C,C,C
1092,B,A,D,C,A,B,B,A,A,B,C,D,B,C,A,B,A,D,C,B,A,B,D,D,D,D,A,B,B,A,D,D,C,C,C,A,D,B,C,A,C,C,D,C,D,D,B,A,A,D,B,B,B,C,B,C,C
1093,C,A,C,D,A,C,A,A,D,A,C,D,A,D,C,A,D,D,B,A,B,B,D,A,C,D,A,C,D,A,C,A,C,C,B,B,B,C,D,B,B,B,B,B,A,C,C,A,B,B,B,B,B,A,A,D,A
1094,C,C,D,C,B,A,A,B,C,D,D,B,B,D,A,D,A,D,D,D,C,A,B,D,B,D,B,D,C,A,A,A,B,A,B,B,B,C,D,D,B,D,B,C,C,C,A,B,B,C,A,D,B,C,A,A,D
1095,C,A,D,A,C,D,A,B,B,C,C,D,B,C,D,A,C,C,C,A,A,B,B,A,B,D,A,C,C,D,D,B,B,C,A,C,B,D,B,B,D,C,A,D,C,C,A,B,C,D,B,D,C,B,A,B,D
1096,C,D,A,B,C,C,D,A,C,B,D,A,B,D,C,A,C,C,A,D,D,B,C,C,A,A,C,D,B,D,C,C,A,D,A,C,A,D,D,A,A,B,B,B,A,C,B,B,A,D,D,B,C,B,A,C,B
1097,B,A,D,D,D,B,C,A,B,B,B,A,C,B,B,B,B,B,B,B,A,C,D,D,B,B,D,D,A,B,C,D,A,B,B,A,C,C,D,A,D,C,B,A,B,C,D,C,A,C,D,C,C,D,C,C,A
1098,B,D,B,C,C,B,D,D,D,C,B,B,C,B,A,A,C,D,B,B,C,C,A,D,B,A,B,A,D,C,A,B,B,C,C,A,A,A,D,B,D,B,D,D,A,D,A,D,B,A,D,D,A,A,A,A,D
1099,A,B,C,C,A,A,B,D,A,C,A,D,A,B,A,C,B,A,B,B,A,D,D,C,A,D,B,D,C,A,D,B,D,B,A,C,C,A,D,B,D,B,C,B,C,C,A,D,C,D,A,C,B,B,A,C,A
1100,C,D,B,A,D,A,D,D,D,D,B,A,A,D,A,B,B,B,D,B,B,D,B,D,A,A,C,B,D,B,B,C,C,C,B,C,D,C,C,B,D,A,C,C,D,C,B,B,B,B,A,A,C,B,A,C,A
1101,D,B,C,A,D,C,D,D,B,C,A,B,A,C,A,C,D,C,B,B,C,B,B,D,A,C,D,A,A,D,A,B,C,A,C,A,D,A,D,C,D,A,D,B,A,A,C,B,D,D,B,B,D,C,A,D,C
1102,C,C,D,B,D,D,B,D,D,A,A,C,C,A,A,C,A,A,C,D,B,B,C,C,D,C,D,B,C,D,C,B,D,C,C,D,C,C,D,A,D,C,D,C,B,C,A,D,B,B,A,B,C,C,D,B,A
1103,B,C,D,D,D,A,B,B,D,A,A,A,B,C,D,D,C,B,A,A,B,A,B,B,C,A,B,D,A,D,A,B,B,C,A,D,B,D,B,C,B,A,A,A,C,C,C,B,B,C,A,B,C,B,D,D,D
1104,B,A,C,D,A,C,D,B,C,A,B,D,B,C,B,D,C,D,A,B,B,C,D,C,D,C,A,B,D,D,B,A,C,C,C,D,D,A,C,B,A,D,D,D,C,A,A,C,D,D,A,C,A,A,D,D,C
1105,C,C,B,A,C,A,D,C,D,B,D,D,D,B,C,C,D,B,B,D,B,C,A,B,C,D,C,B,B,D,B,B,D,D,C,D,D,B,B,B,D,B,D,D,A,B,A,D,A,A,B,A,B,D,D,C,D
1106,A,D,B,D,B,A,C,D,C,D,B,A,B,D,B,B,B,B,C,C,B,D,A,D,A,A,B,C,C,D,C,D,A,B,D,C,A,B,C,B,C,C,D,A,A,D,C,C,B,C,C,D,C,A,B,A,C
1107,C,C,A,A,C,C,B,D,C,D,B,C,C,D,A,C,B,B,B,C,A,A,A,D,C,B,C,C,B,B,A,A,B,C,C,A,A,C,D,C,B,C,B,D,A,D,C,D,A,A,B,A,A,B,C,D,D
1108,B,B,C,C,C,A,A,B,D,A,A,C,D,B,B,A,A,C,B,B,D,C,D,A,A,C,D,A,B,A,A,D,C,A,D,C,B,C,C,D,C,B,A,D,B,B,C,D,B,A,C,A,D,B,D,D,B
1109,D,B,B,C,C,B,D,C,D,B,D,D,A,C,C,D,C,D,C,A,B,C,C,D,D,D,D,A,D,D,D,A,D,C,D,B,D,C,A,C,B,D,D,D,C,B,C,D,A,B,D,B,C,B,A,C,C
1110,A,A,B,C,D,C,D,C,D,B,D,D,B,B,B,C,B,B,C,A,A,B,B,C,B,D,D,C,A,B,B,C,D,C,D,C,A,D,D,B,C,C,D,D,D,A,B,A,A,D,A,D,A,B,B,D,C
1111,D,B,B,C,D,D,D,A,B,C,D,D,A,D,D,A,B,A,A,D,D,D,C,D,A,D,B,C,D,C,D,B,A,D,A,C,C,C,B,D,C,C,C,B,A,A,D,A,D,C,D,B,B,C,C,A,B
1112,D,A,A,C,C,A,B,D,D,A,C,C,D,A,C,B,C,C,A,D,B,A,C,B,A,A,B,D,B,D,C,A,A,B,D,C,C,B,B,B,C,B,A,A,D,B,D,C,B,B,C,B,A,C,D,B,D
1113,C,D,B,D,B,C,D,D,C,C,C,C,B,D,C,B,A,D,A,D,B,D,A,C,B,A,B,D,C,C,D,B,D,C,A,D,A,B,B,D,D,B,C,D,B,A,A,D,C,B,A,D,D,A,D,D,D
1114,C,B,C,B,B,C,B,D,A,D,A,B,D,B,B,B,B,A,D,D,A,D,D,A,B,C,A,C,B,D,C,D,C,D,D,B,B,C,D,C,D,A,A,C,C,D,B,B,A,A,C,D,D,A,A,D,A
1115,D,A,B,D,B,C,A,D,D,B,A,B,A,C,B,C,A,A,A,D,B,D,A,A,D,C,A,D,D,C,B,B,A,C,B,C,A,B,A,C,C,C,A,C,B,B,A,A,B,C,A,B,C,C,A,B,C
1116,B,A,C,B,D,C,A,C,C,A,D,A,B,C,D,C,C,D,C,A,B,D,B,A,B,B,A,A,D,D,C,D,A,B,D,B,C,A,C,A,B,D,B,B,A,B,D,D,A,C,A,D,D,C,A,C,D
1117,C,D,D,C,A,D,B,C,C,D,B,D,C,A,B,B,A,A,D,A,C,B,C,D,A,B,A,D,D,B,D,B,B,B,B,B,D,B,D,D,B,B,B,A,D,C,B,A,D,D,D,B,D,A,A,C,B
1118,C,B,D,D,B,D,D,D,C,D,A,A,B,B,D,D,B,C,A,B,B,A,D,B,C,B,A,A,B,A,D,C,A,A,A,A,D,B,A,D,A,A,D,C,B,A,B,B,D,B,A,B,B,A,A,C,B
1119,D,D,C,D,D,D,B,A,C,B,A,D,B,A,B,A,B,C,C,B,B,A,B,D,A,B,B,A,B,D,A,B,A,B,D,C,C,D,C,D,A,D,B,C,D,B,A,B,B,B,D,C,C,A,B,A,D
1120,A,D,C,D,C,A,A,C,C,C,C,D,D,B,A,B,B,B,D,D,D,C,B,A,D,A,A,B,B,B,B,B,B,C,D,A,C,A,A,B,D,A,B,B,B,C,C,B,A,D,B,C,A,D,B,B,A
1121,A,B,C,B,D,B,A,C,D,C,A,D,B,B,C,B,D,A,B,B,C,D,D,D,B,B,A,C,C,B,A,B,B,D,A,D,B,C,C,C,B,D,B,D,D,B,B,A,B,A,B,D,B,B,A,D,B
1122,D,C,C,D,C,A,A,B,D,A,D,B,D,D,C,C,C,B,B,D,A,B,C,B,D,B,B,C,D,B,C,A,D,C,D,D,A,B,C,A,C,A,B,A,A,C,A,A,D,D,A,C,B,C,B,A,A
1123,D,C,B,B,C,B,C,A,B,B,C,A,A,A,D,B,C,C,B,B,A,B,D,B,B,A,C,C,D,A,A,C,D,D,C,A,A,C,D,B,C,D,C,D,D,B,A,B,B,B,B,C,B,B,A,C,D
1124,A,A,C,B,B,D,B,B,D,B,A,C,D,C,B,A,D,B,D,A,D,C,B,B,C,D,B,D,B,D,C,C,B,D,A,A,D,A,B,C,A,C,C,B,D,A,B,A,B,B,C,D,A,B,C,D,D
1125,D,D,A,B,D,C,B,C,B,D,A,A,C,C,C,A,A,A,B,A,D,C,C,C,D,A,C,C,D,D,D,C,C,C,C,B,C,C,C,C,A,D,A,D,D,D,B,D,C,B,B,C,B,D,D,A,A
1126,B,A,B,B,C,D,A,A,B,C,A,C,B,D,C,A,C,C,A,A,A,D,B,A,D,B,C,A,D,D,B,D,D,A,D,A,B,C,D,C,C,D,D,D,D,C,C,B,A,C,C,D,C,B,A,B,D
1127,A,C,A,C,C,A,A,D,C,A,B,D,D,C,A,C,D,A,D,A,B,C,C,C,A,D,D,C,A,C,C,B,D,D,C,D,D,D,C,B,A,C,C,A,D,B,A,C,B,B,A,D,B,A,A,C,A
1128,D,B,B,C,C,A,D,C,C,C,B,C,C,C,A,D,B,C,D,C,D,A,C,D,B,D,C,B,B,A,C,C,C,D,A,C,B,D,D,C,C,B,D,B,C,A,C,D,A,A,C,C,D,C,D,B,B
1129,A,B,A,C,C,C,B,B,B,B,C,B,C,C,A,D,D,A,A,A,B,B,C,A,B,C,B,C,A,A,A,B,C,D,C,C,B,B,C,D,C,B,D,A,D,A,D,C,C,A,C,C,B,D,B,A,B
1130,A,B,C,C,A,B,B,A,C,C,A,A,A,D,C,D,A,B,B,B,D,A,B,A,B,D,A,C,D,B,C,A,C,A,B,C,A,B,B,D,A,D,A,D,D,C,B,C,D,D,D,B,C,D,A,A,B
1131,B,B,B,C,B,B,C,D,A,A,D,D,D,A,B,C,A,D,C,B,A,A,C,B,D,C,D,C,B,C,D,B,D,D,A,B,B,B,A,A,A,A,A,D,C,D,A,B,C,C,C,D,A,C,B,C,B
1132,B,C,A,D,D,C,B,B,D,D,B,D,B,D,B,A,B,C,D,D,C,D,A,A,C,A,D,C,D,C,D,A,C,C,C,A,B,A,B,D,A,B,D,B,A,A,A,D,C,C,A,D,B,B,B,C,B
1133,B,D,A,C,D,C,B,A,D,A,B,C,D,D,A,D,C,C,B,C,B,D,B,C,D,D,A,D,B,C,A,C,B,B,A,D,A,C,D,A,D,C,C,B,D,B,B,C,D,C,A,C,A,B,D,C,D
1134,B,D,A,A,B,C,A,A,D,B,B,B,C,B,B,C,A,C,B,D,A,B,B,A,D,D,C,D,A,D,A,A,D,C,B,A,A,C,A,A,B,B,C,D,A,B,C,B,D,A,B,B,C,B,A,C,C
1135,D,D,D,C,D,C,D,A,A,C,D,A,B,B,B,C,B,D,C,A,D,D,B,C,C,C,A,D,C,A,A,C,D,C,C,C,A,C,D,A,A,C,C,B,B,A,B,D,A,B,A,B,D,B,A,B,D
1136,B,D,A,D,C,B,B,B,A,D,B,C,C,C,D,C,C,D,B,B,B,A,D,B,D,C,A,A,C,D,D,C,A,C,D,A,A,A,C,C,A,C,C,B,D,D,A,A,A,B,A,A,C,C,C,C,A
1137,D,D,C,D,B,C,A,A,A,B,A,C,B,A,D,B,C,D,D,C,B,A,B,C,D,A,B,D,C,A,D,D,C,B,C,C,A,C,A,D,A,D,A,D,B,B,A,A,C,B,D,B,A,D,B,C,A
1138,D,B,C,A,D,A,B,A,A,D,D,D,A,B,D,B,B,C,A,A,A,B,D,A,A,D,B,C,A,B,A,A,D,B,B,C,A,C,B,C,B,A,A,C,D,B,D,D,A,C,B,D,B,C,B,C,B
1139,C,B,B,B,C,C,D,B,A,D,D,C,C,B,C,A,C,A,B,A,B,B,A,A,B,D,B,A,B,C,A,B,D,B,D,A,D,B,C,C,A,B,C,A,D,A,A,C,C,D,A,C,B,D,A,C,A
1140,A,C,D,C,C,B,B,B,B,B,D,C,A,B,A,A,C,B,D,A,A,B,A,B,C,B,D,D,B,C,D,B,D,A,C,C,B,C,C,C,A,C,A,A,A,C,D,C,C,C,B,C,A,C,D,B,D
1141,C,C,D,B,A,B,B,B,C,D,D,D,C,C,D,C,B,A,A,A,B,D,B,B,B,B,C,A,B,D,D,C,A,B,A,C,D,C,C,B,A,C,C,C,A,A,C,A,A,C,A,C,D,B,C,C,B
1142,C,B,C,C,A,B,A,D,C,B,A,C,A,B,B,C,D,D,B,B,D,D,D,C,D,C,A,B,A,A,A,C,C,B,A,D,B,D,B,D,D,A,D,C,B,A,B,B,B,A,C,B,A,D,B,B,D
1143,A,B,D,A,C,C,A,D,B,D,C,B,A,A,B,A,A,C,C,D,A,C,A,B,A,B,B,D,C,A,C,D,D,C,C,B,B,D,B,D,C,C,B,C,B,D,A,D,D,B,B,D,D,A,C,C,D
1144,A,D,D,B,A,B,C,C,A,B,C,A,C,B,C,D,A,C,D,B,B,C,D,C,D,B,D,D,C,C,A,A,C,C,B,C,C,B,D,B,C,B,C,A,C,D,B,B,C,A,D,B,A,B,C,C,D
1145,D,C,B,D,A,B,C,D,A,D,D,B,C,B,B,A,A,B,D,D,C,C,D,D,A,D,A,A,B,C,D,D,D,B,A,A,A,B,D,A,A,D,A,D,A,A,D,B,D,C,B,C,A,C,D,D,B
1146,D,D,B,B,A,A,D,D,D,D,D,A,A,D,B,D,A,A,D,D,A,B,A,D,D,C,D,C,D,C,C,D,A,C,B,C,B,C,A,A,C,A,A,D,C,A,A,C,C,C,C,D,B,D,B,A,D
1147,A,A,B,D,B,A,A,A,C,A,C,C,C,B,B,C,D,A,A,A,C,A,D,D,D,B,A,C,C,C,C,C,D,B,C,D,B,B,D,B,A,B,D,B,B,A,D,C,A,A,C,C,B,C,C,D,B
1148,C,D,B,D,B,B,B,C,B,C,A,D,A,B,A,D,D,A,A,B,C,A,B,C,D,A,C,D,A,D,C,C,C,A,B,D,C,B,A,C,C,D,B,C,D,B,B,A,B,A,B,A,B,A,D,A,C
1149,D,D,B,A,A,A,D,D,D,A,A,A,C,B,C,C,B,A,D,C,B,B,B,A,A,C,C,D,A,A,C,D,C,A,C,C,A,B,D,C,C,A,A,B,D,D,C,D,A,A,B,A,B,C,B,D,A
1150,A,D,A,A,D,B,A,D,A,D,B,A,A,C,A,A,C,B,A,B,D,B,A,B,C,B,D,A,C,C,D,D,B,B,B,A,A,B,D,B,B,A,C,C,C,A,D,C,B,D,A,C,A,D,A,B,B
1151,C,D,A,B,A,C,B,A,D,B,A,A,D,A,D,C,D,B,C,A,C,D,C,D,B,A,A,A,A,B,C,B,B,A,C,D,A,C,C,C,C,B,C,D,C,A,A,D,C,B,A,A,D,A,A,D,C
1152,A,B,B,B,D,C,D,A,B,B,C,A,B,C,A,D,D,B,A,C,A,D,C,C,D,B,D,D,A,D,A,C,C,C,B,D,D,B,A,B,B,A,B,B,B,C,D,B,B,C,A,B,A,C,D,A,B
1153,C,A,C,A,A,A,B,B,C,C,D,D,B,B,D,D,C,A,B,A,C,B,D,A,D,C,C,D,C,B,C,A,C,B,B,A,A,D,B,A,C,A,B,D,D,C,B,D,C,A,D,A,D,B,D,D,C
1154,A,B,D,B,D,C,C,A,C,A,D,A,C,A,B,D,D,C,C,D,D,C,D,D,A,D,B,A,A,A,B,C,C,A,C,C,C,B,D,A,B,A,C,B,A,D,A,C,B,B,D,A,B,C,B,A,D
1155,B,B,A,C,A,B,C,C,D,A,A,C,D,B,D,B,C,C,C,D,D,D,D,C,C,D,A,A,A,B,D,A,B,B,C,C,D,B,B,A,D,B,C,C,A,D,C,B,B,D,A,A,C,A,C,A,B
1156,C,C,D,A,A,C,D,A,D,A,C,B,B,C,C,C,C,A,C,A,D,C,C,A,B,C,D,D,B,B,A,A,B,A,C,D,A,A,B,C,D,D,D,A,B,C,B,D,B,A,C,B,D,A,B,A,A
1157,D,C,C,A,A,C,B,D,B,D,C,A,A,B,B,A,D,D,B,B,B,A,D,C,D,D,A,B,B,D,B,A,D,B,D,A,A,A,C,B,D,A,C,C,A,C,D,C,C,C,D,A,C,D,B,C,C
1158,D,D,A,A,A,D,B,D,C,C,D,C,C,D,C,B,A,B,A,A,D,A,C,C,C,B,A,B,B,B,C,D,B,B,A,C,A,B,C,C,D,D,D,B,D,C,C,B,C,B,B,B,B,C,B,C,B
1159,C,B,B,C,C,D,C,C,A,A,B,A,C,D,C,A,B,D,D,C,A,A,C,C,A,B,C,C,A,D,D,C,D,B,C,D,A,A,C,A,B,A,B,C,D,D,B,D,C,D,B,C,D,C,D,B,D
1160,C,C,B,A,B,A,C,B,B,D,A,B,A,B,B,A,C,C,D,B,A,A,A,D,C,C,C,D,D,A,C,D,A,A,A,A,A,D,D,A,B,D,A,A,D,B,D,B,A,A,C,B,A,D,D,A,B
1161,C,C,A,B,C,B,D,A,A,C,C,D,B,D,A,A,D,A,A,D,D,A,C,A,A,B,D,A,D,B,B,A,D,D,B,B,B,A,A,A,B,C,A,B,D,D,B,C,D,A,C,A,C,C,D,A,D
1162,A,D,B,B,D,A,C,C,B,B,D,A,A,D,C,D,C,D,B,B,D,D,A,D,A,C,B,C,B,A,B,A,B,B,A,B,D,A,B,C,C,A,D,C,D,B,C,D,B,A,D,D,B,C,A,C,D
1163,C,B,B,D,B,A,D,B,D,C,D,C,A,A,B,D,D,C,A,B,D,D,C,B,D,A,A,D,D,B,A,A,D,B,B,A,D,D,A,A,A,D,B,A,D,A,C,A,C,A,B,A,A,A,C,B,D
1164,D,D,C,C,C,A,B,B,B,A,D,A,B,A,A,B,D,A,D,D,D,A,C,A,B,A,C,C,B,D,B,C,D,C,B,A,B,B,A,A,A,C,D,B,C,B,D,D,A,A,B,D,C,C,D,A,C
1165,D,B,B,B,B,C,A,D,C,D,A,B,C,C,A,C,C,C,C,C,B,C,D,A,C,D,D,B,C,A,C,D,D,B,A,B,A,D,D,A,C,A,B,A,A,C,B,C,D,D,A,B,B,D,D,C,B
1166,C,B,D,A,D,B,C,A,B,C,A,A,B,C,C,C,B,C,D,B,D,A,A,D,B,C,C,A,A,B,C,D,D,B,B,A,B,A,B,A,D,B,A,C,C,B,D,A,A,C,B,B,A,B,A,B,C
1167,A,B,B,B,A,C,D,C,B,B,D,D,A,C,C,D,A,B,D,C,A,C,D,B,B,D,C,D,D,B,C,D,A,B,B,A,B,B,A,C,D,C,D,B,C,D,C,A,C,B,A,C,C,D,C,A,A
